State,Region,Symptom,RecommendedFood,Avoid,Nutrients,BloodGroupAdjustment,Season,Tip
Gujarat,West,heavy bleeding,"Palm Jaggery Porridge, Ragi roti",Chicken,"Potassium, Vitamin C, Zinc",AB+: Balance with fermented foods,winter,Include vallarai leaves for energy
Rajasthan,West,pain,"Raw Banana Soup, Banana Ragi Roti, Black Sesame with Cane Sugar","Processed foods, Carbonated drinks","Caffeine, Vitamin E",O+: Increase iron intake from leafy greens and lentils,winter,Plenty of water
Madhya Pradesh,Central,bloating,"Spinach Methi Greens, Tea with Ghee, Ragi roti","Sour foods, Heavy fried foods","Vitamins A C B1, Folate",B+: Emphasize whole grains and vegetables,winter,Warm dosa variations
Uttar Pradesh,North,fatigue,"Finger Millet Idli Ragi, Palm Jaggery Porridge",Sour foods,"Protein, Calcium",O+: Increase iron intake from leafy greens and lentils,summer,Hydrate with herbal teas
Bihar,East,bloating,Peppermint water,"Sugarcane, Potatoes","Calcium, Vitamin C",A+: Focus on lighter proteins like tofu,winter,Seasonal fruits for vitamin C
West Bengal,East,bloating,"Palm Jaggery Porridge, Sesame Seeds Nuts, Plenty of Water",Cabbage,"Fiber, Potassium, Magnesium",A+: Focus on lighter proteins like tofu,winter,Urban access to fresh produce
Odisha,East,heavy bleeding,Uluva Verakiyath Fenugreek Porridge,"Curd, Sour foods","Vitamins A C B1, Antioxidants, Protein",O+: Increase iron intake from leafy greens and lentils,summer,Local affordable greens
Jharkhand,East,bloating,"Peppermint water, Sarkkarachoru, Spinach Methi Greens",Cabbage,Vitamin E,B+: Emphasize whole grains and vegetables,summer,Seasonal fruits for vitamin C
Assam,Northeast,heavy bleeding,"Black Sesame with Cane Sugar, Tea with Ghee, Banana Ragi Roti",Non-veg,"Iron, Vitamin E",AB+: Balance with fermented foods,winter,Prefer warm sesame seed soups
Delhi,North,fatigue,"Raw Banana Soup, Ulunthu Kali Urad Dhal Porridge","Milk, Cold foods",Magnesium,O+: Increase iron intake from leafy greens and lentils,winter,Seasonal fruits for vitamin C
Haryana,North,cramps,"Tea with Ghee, Leafy Greens",Non-veg,"Protein, Zinc, Vitamin C",AB+: Balance with fermented foods,summer,Add coconut water for hydration
Punjab,North,fatigue,"Spinach Methi Greens, Seem Paal Bovine Colostrum","Curd, Sugarcane",Protein,A+: Focus on lighter proteins like tofu,summer,Millet porridge
Himachal Pradesh,North,pain,"Sesame Seeds Nuts, Ginger tea",Spicy foods,Antioxidants,AB+: Balance with fermented foods,summer,Local affordable greens
Jammu & Kashmir,North,heavy bleeding,"Spinach Methi Greens, Seem Paal Bovine Colostrum","Tamarind, Non-veg","Vitamin E, Caffeine, Iron",B+: Emphasize whole grains and vegetables,summer,Iron-rich greens
Kerala,South,pain,"Sesame Seeds Nuts, Hot Tea, Uluva Verakiyath Fenugreek Porridge",Pickles,Calcium,AB+: Balance with fermented foods,winter,Warm soups
Tamil Nadu,South,pain,Cucumber Coconut Water,"Potatoes, Non-veg","Zinc, Folate, Antioxidants",AB+: Balance with fermented foods,summer,Warm soups
Karnataka,South,bloating,"Cucumber Coconut Water, Banana Ragi Roti, Vegetable Rice",Pickles,"Fiber, Zinc, Vitamin E",AB+: Balance with fermented foods,summer,Warm dosa variations
Andhra Pradesh,South,heavy bleeding,"Sarkkarachoru, Peppermint water, Spinach Methi Greens",Non-veg,"Zinc, Protein, Iron",A+: Focus on lighter proteins like tofu,summer,Seed mixes
Telangana,South,cramps,"Ragi Porridge, Finger Millet Idli Ragi, Palm Jaggery Porridge",Lassi,"Caffeine, Antioxidants",B+: Emphasize whole grains and vegetables,summer,Warm tapioca dishes
Maharashtra,West,pain,"Finger Millet Idli Ragi, Black Sesame with Cane Sugar, Plenty of Water","Chicken, Spicy foods","Vitamin E, Folate, Vitamins A C B1",B+: Emphasize whole grains and vegetables,winter,Include vallarai leaves for energy
Gujarat,West,pain,"Light Fish Curry, Dal with Greens, Arissi Puttu Rice Flour Coconut","Onion, Curd","Omega-3, Iron, Vitamin C",O+: Increase iron intake from leafy greens and lentils,summer,Cucumber and hydration focus
Rajasthan,West,heavy bleeding,"Banana Ragi Roti, Ragi roti",Potatoes,"Calcium, Vitamin E, Zinc",A+: Focus on lighter proteins like tofu,winter,Include vallarai leaves for energy
Madhya Pradesh,Central,bloating,"Vegetable Rice, Peppermint water, Black Sesame with Cane Sugar","Lassi, Heavy fried foods","Vitamin E, Magnesium, Vitamins A C B1",AB+: Balance with fermented foods,summer,Hydration focus
Uttar Pradesh,North,heavy bleeding,"Spinach Methi Greens, Ulunthu Kali Urad Dhal Porridge, Parupu Urundai Toor Dal Balls",Sour foods,Vitamins A C B1,AB+: Balance with fermented foods,summer,Warm spices for digestion
Bihar,East,heavy bleeding,"Lentils Dal, Avilvilayichathu Rice Flakes Mixture","Rice, Chicken","Folate, Protein",AB+: Balance with fermented foods,summer,Pair with vitamin C fruits
West Bengal,East,bloating,Sesame Seeds Nuts,Processed foods,Folate,AB+: Balance with fermented foods,winter,Cucumber for hydration
Odisha,East,cramps,"Uluva Verakiyath Fenugreek Porridge, Spinach Methi Greens, Dark chocolate","Carbonated drinks, Milk products in excess","Vitamins A C B1, Vitamin E, Caffeine",A+: Focus on lighter proteins like tofu,summer,Warm tapioca dishes
Jharkhand,East,heavy bleeding,Karupettikurukku Black Sesame Preparation,"Pickles, Heavy fried foods",Calcium,AB+: Balance with fermented foods,summer,Prefer warm sesame seed soups
Assam,Northeast,pain,Ginger tea,"Chicken, Cold foods",Fiber,AB+: Balance with fermented foods,summer,Iron-rich greens
Delhi,North,cramps,"Dark chocolate, Peppermint water",Sugarcane,Antioxidants,AB+: Balance with fermented foods,winter,Hydrate with herbal teas
Haryana,North,cramps,"Arissi Puttu Rice Flour Coconut, Lentils Dal, Seem Paal Bovine Colostrum",Red meat,"Antioxidants, Fiber",A+: Focus on lighter proteins like tofu,winter,Leafy greens for iron
Punjab,North,fatigue,"Tea with Ghee, Leafy Greens","Red meat, Chicken",Vitamin C,O+: Increase iron intake from leafy greens and lentils,winter,Prefer warm sesame seed soups
Himachal Pradesh,North,pain,Tea with Ghee,"Milk products in excess, Sour foods","Phytoestrogens, Folate",B+: Emphasize whole grains and vegetables,winter,Soups with spices
Jammu & Kashmir,North,pain,"Plenty of Water, Raw Egg Yolk with Sesame Oil, Light Fish Curry",Heavy fried foods,"Fiber, Vitamin E, Phytoestrogens",AB+: Balance with fermented foods,winter,Cucumber and hydration focus
Kerala,South,fatigue,Ragi roti,"Cabbage, Rice",Folate,A+: Focus on lighter proteins like tofu,summer,Pair with vitamin C fruits
Tamil Nadu,South,fatigue,"Light Fish Curry, Uluva Verakiyath Fenugreek Porridge","Cabbage, Milk","Vitamins A C B1, Calcium",O+: Increase iron intake from leafy greens and lentils,winter,Urban access to fresh produce
Karnataka,South,bloating,"Vegetable Rice, Finger Millet Idli Ragi","Spicy foods, Sugarcane","Caffeine, Magnesium, Vitamin C",B+: Emphasize whole grains and vegetables,summer,Avoid tamarind-based curries
Andhra Pradesh,South,bloating,"Palm Jaggery Porridge, Raw Egg Yolk with Sesame Oil, Finger Millet Idli Ragi",Raw vegetables,"Zinc, Vitamin C",B+: Emphasize whole grains and vegetables,winter,Iron-rich greens
Telangana,South,bloating,Sarkkarachoru,Carbonated drinks,"Vitamins A C B1, Fiber, Potassium",B+: Emphasize whole grains and vegetables,winter,Hot beverages for warmth
Maharashtra,West,heavy bleeding,"Palm Jaggery Porridge, Cucumber Coconut Water, Tea with Ghee",Tamarind,Vitamin E,A+: Focus on lighter proteins like tofu,summer,Seed mixes
Gujarat,West,heavy bleeding,"Parupu Urundai Toor Dal Balls, Finger Millet Idli Ragi, Millets Bajra Porridge","Non-veg, Rice",Magnesium,A+: Focus on lighter proteins like tofu,winter,Coconut water
Rajasthan,West,pain,"Spinach Methi Greens, Raw Egg Yolk with Sesame Oil","Milk products in excess, Sour foods",Iron,AB+: Balance with fermented foods,winter,Avoid tamarind-based curries
Madhya Pradesh,Central,pain,"Ginger tea, Spinach Methi Greens, Light Fish Curry",Non-veg,"Magnesium, Omega-3, Iron",AB+: Balance with fermented foods,summer,Warm soups
Uttar Pradesh,North,cramps,Parupu Urundai Toor Dal Balls,"Raw vegetables, Spicy foods",Fiber,AB+: Balance with fermented foods,summer,Cucumber and hydration focus
Bihar,East,cramps,"Arissi Puttu Rice Flour Coconut, Ragi roti","Chicken, Onion",Vitamins A C B1,AB+: Balance with fermented foods,winter,Hydrate with herbal teas
West Bengal,East,pain,Uluva Verakiyath Fenugreek Porridge,High salt,"Zinc, Magnesium",O+: Increase iron intake from leafy greens and lentils,summer,Hydration focus
Odisha,East,pain,"Spinach Methi Greens, Leafy Greens",Potatoes,"Omega-3, Caffeine",AB+: Balance with fermented foods,summer,Warm tapioca dishes
Jharkhand,East,heavy bleeding,Ginger tea,Milk products in excess,"Fiber, Folate",O+: Increase iron intake from leafy greens and lentils,summer,Include vallarai leaves for energy
Assam,Northeast,bloating,"Millets Bajra Porridge, Vegetable Rice, Leafy Greens",Cold foods,Zinc,AB+: Balance with fermented foods,winter,Iron-rich greens
Delhi,North,bloating,Tea with Ghee,"Cold foods, Raw vegetables",Folate,B+: Emphasize whole grains and vegetables,summer,Soups with spices
Haryana,North,bloating,"Raw Egg Yolk with Sesame Oil, Dark chocolate","Curd, Sour foods","Caffeine, Vitamin E",A+: Focus on lighter proteins like tofu,winter,Hydrate with herbal teas
Punjab,North,cramps,Hot Tea,"Curd, Milk","Protein, Potassium",AB+: Balance with fermented foods,summer,Urban access to fresh produce
Himachal Pradesh,North,pain,"Karupettikurukku Black Sesame Preparation, Raw Banana Soup",Processed foods,"Magnesium, Phytoestrogens",A+: Focus on lighter proteins like tofu,winter,Cucumber for hydration
Jammu & Kashmir,North,heavy bleeding,"Uluva Verakiyath Fenugreek Porridge, Tea with Ghee",Carbonated drinks,Antioxidants,A+: Focus on lighter proteins like tofu,summer,Prefer warm sesame seed soups
Kerala,South,cramps,Parupu Urundai Toor Dal Balls,"Pickles, Chicken","Antioxidants, Zinc, Magnesium",AB+: Balance with fermented foods,winter,Warm spices for digestion
Tamil Nadu,South,fatigue,Sarkkarachoru,Tamarind,"Phytoestrogens, Vitamin C",AB+: Balance with fermented foods,summer,Pair with vitamin C fruits
Karnataka,South,heavy bleeding,Dark chocolate,"Raw vegetables, Red meat",Iron,A+: Focus on lighter proteins like tofu,winter,Seasonal fruits for vitamin C
Andhra Pradesh,South,cramps,Dark chocolate,"Red meat, Potatoes","Protein, Calcium, Iron",O+: Increase iron intake from leafy greens and lentils,summer,Seed mixes
Telangana,South,heavy bleeding,Hot Tea,Lassi,Magnesium,B+: Emphasize whole grains and vegetables,winter,Leafy greens for iron
Maharashtra,West,cramps,"Hot Tea, Tea with Ghee, Uluva Verakiyath Fenugreek Porridge","Chicken, Rice","Omega-3, Zinc",B+: Emphasize whole grains and vegetables,summer,Warm tapioca dishes
Gujarat,West,bloating,"Sarkkarachoru, Spinach Methi Greens, Light Fish Curry",Lassi,"Magnesium, Protein",B+: Emphasize whole grains and vegetables,winter,Monsoon hydration
Rajasthan,West,cramps,Banana Ragi Roti,"Potatoes, Processed foods","Phytoestrogens, Folate",O+: Increase iron intake from leafy greens and lentils,winter,Iron-rich greens
Madhya Pradesh,Central,cramps,"Raw Egg Yolk with Sesame Oil, Black Sesame with Cane Sugar","Milk, Pickles",Vitamin C,A+: Focus on lighter proteins like tofu,winter,Warm tapioca dishes
Uttar Pradesh,North,heavy bleeding,"Dal with Greens, Spinach Methi Greens","Chicken, Processed foods","Calcium, Vitamin C, Potassium",AB+: Balance with fermented foods,summer,Light meals
Bihar,East,bloating,Ulunthu Kali Urad Dhal Porridge,"Milk, Pickles","Potassium, Vitamin C, Protein",A+: Focus on lighter proteins like tofu,winter,Leafy greens for iron
West Bengal,East,cramps,"Peppermint water, Sarkkarachoru, Ragi roti","Onion, High salt",Protein,O+: Increase iron intake from leafy greens and lentils,summer,Local affordable greens
Odisha,East,fatigue,"Vegetable Rice, Ulunthu Kali Urad Dhal Porridge",Pickles,"Vitamins A C B1, Caffeine, Potassium",AB+: Balance with fermented foods,winter,Avoid tamarind-based curries
Jharkhand,East,cramps,"Plenty of Water, Ginger tea","Lassi, Heavy fried foods","Vitamins A C B1, Omega-3",B+: Emphasize whole grains and vegetables,summer,Avoid tamarind-based curries
Assam,Northeast,cramps,"Raw Egg Yolk with Sesame Oil, Cucumber Coconut Water",Raw vegetables,Phytoestrogens,O+: Increase iron intake from leafy greens and lentils,winter,Include vallarai leaves for energy
Delhi,North,fatigue,"Avilvilayichathu Rice Flakes Mixture, Sesame Seeds Nuts","Spicy foods, Tamarind",Magnesium,O+: Increase iron intake from leafy greens and lentils,winter,Avoid tamarind-based curries
Haryana,North,fatigue,Karupettikurukku Black Sesame Preparation,Curd,"Vitamins A C B1, Omega-3",AB+: Balance with fermented foods,summer,Hydration focus
Punjab,North,pain,Sesame Seeds Nuts,"Chicken, Potatoes","Calcium, Antioxidants, Omega-3",O+: Increase iron intake from leafy greens and lentils,winter,Hydration focus
Himachal Pradesh,North,pain,"Banana, Arissi Puttu Rice Flour Coconut","Cabbage, Pickles","Vitamin E, Magnesium, Omega-3",A+: Focus on lighter proteins like tofu,summer,Local affordable greens
Jammu & Kashmir,North,cramps,Arissi Puttu Rice Flour Coconut,Chicken,"Fiber, Caffeine",AB+: Balance with fermented foods,winter,Warm spices for digestion
Kerala,South,pain,"Avilvilayichathu Rice Flakes Mixture, Sarkkarachoru, Cucumber Coconut Water",Spicy foods,"Antioxidants, Protein, Folate",B+: Emphasize whole grains and vegetables,summer,Seed mixes
Tamil Nadu,South,pain,"Peppermint water, Banana, Ragi roti",Red meat,"Fiber, Magnesium",B+: Emphasize whole grains and vegetables,winter,Avoid tamarind-based curries
Karnataka,South,pain,"Seem Paal Bovine Colostrum, Plenty of Water",High salt,"Calcium, Zinc, Antioxidants",O+: Increase iron intake from leafy greens and lentils,summer,Millet porridge
Andhra Pradesh,South,fatigue,"Dal with Greens, Millets Bajra Porridge, Palm Jaggery Porridge","Raw vegetables, Processed foods","Magnesium, Folate, Antioxidants",B+: Emphasize whole grains and vegetables,summer,Light meals
Telangana,South,fatigue,Parupu Urundai Toor Dal Balls,Sour foods,"Protein, Caffeine, Magnesium",A+: Focus on lighter proteins like tofu,winter,Pair with vitamin C fruits
Maharashtra,West,cramps,"Uluva Verakiyath Fenugreek Porridge, Raw Egg Yolk with Sesame Oil","Sour foods, Onion","Antioxidants, Magnesium",AB+: Balance with fermented foods,summer,Add coconut water for hydration
Gujarat,West,bloating,"Ragi roti, Dark chocolate, Karupettikurukku Black Sesame Preparation","Curd, Sugarcane","Vitamin C, Iron",AB+: Balance with fermented foods,summer,Coconut water
Rajasthan,West,cramps,Lentils Dal,"Heavy fried foods, High salt","Magnesium, Vitamin C",A+: Focus on lighter proteins like tofu,summer,Pair with vitamin C fruits
Madhya Pradesh,Central,heavy bleeding,"Light Fish Curry, Millets Bajra Porridge","Non-veg, Curd",Vitamins A C B1,O+: Increase iron intake from leafy greens and lentils,summer,Add coconut water for hydration
Uttar Pradesh,North,heavy bleeding,"Spinach Methi Greens, Ginger tea, Light Fish Curry","Sour foods, Milk products in excess","Antioxidants, Caffeine",A+: Focus on lighter proteins like tofu,summer,Seed mixes
Bihar,East,heavy bleeding,"Dark chocolate, Plenty of Water",Milk products in excess,"Potassium, Protein, Antioxidants",B+: Emphasize whole grains and vegetables,summer,Local affordable greens
West Bengal,East,bloating,"Tea with Ghee, Sesame Seeds Nuts, Banana Ragi Roti","Tamarind, Cabbage","Magnesium, Iron",B+: Emphasize whole grains and vegetables,summer,Seed mixes
Odisha,East,heavy bleeding,"Banana Ragi Roti, Arissi Puttu Rice Flour Coconut",Cold foods,"Folate, Iron, Vitamin E",B+: Emphasize whole grains and vegetables,summer,Light meals
Jharkhand,East,cramps,"Banana, Hot Tea",Potatoes,"Vitamin C, Folate",AB+: Balance with fermented foods,winter,Hydration focus
Assam,Northeast,fatigue,"Dal with Greens, Cucumber Coconut Water, Uluva Verakiyath Fenugreek Porridge","Milk, Milk products in excess",Calcium,O+: Increase iron intake from leafy greens and lentils,summer,Urban access to fresh produce
Delhi,North,fatigue,"Sarkkarachoru, Seem Paal Bovine Colostrum","Non-veg, Heavy fats","Folate, Calcium, Iron",A+: Focus on lighter proteins like tofu,winter,Seed mixes
Haryana,North,fatigue,"Finger Millet Idli Ragi, Hot Tea","Carbonated drinks, Red meat","Caffeine, Iron, Calcium",AB+: Balance with fermented foods,winter,Seed mixes
Punjab,North,fatigue,"Sesame Seeds Nuts, Lentils Dal, Uluva Verakiyath Fenugreek Porridge","Pickles, Sugarcane",Vitamins A C B1,B+: Emphasize whole grains and vegetables,summer,Plenty of water
Himachal Pradesh,North,cramps,"Dark chocolate, Peppermint water",Milk products in excess,Vitamin E,O+: Increase iron intake from leafy greens and lentils,summer,Hydrate with herbal teas
Jammu & Kashmir,North,bloating,"Vegetable Rice, Hot Tea","Tamarind, Non-veg",Folate,AB+: Balance with fermented foods,winter,Include vallarai leaves for energy
Kerala,South,fatigue,"Palm Jaggery Porridge, Sarkkarachoru, Spinach Methi Greens","Potatoes, Red meat","Fiber, Zinc",A+: Focus on lighter proteins like tofu,summer,Local affordable greens
Tamil Nadu,South,pain,"Raw Banana Soup, Black Sesame with Cane Sugar","Lassi, Cabbage",Protein,B+: Emphasize whole grains and vegetables,summer,Hot beverages for warmth
Karnataka,South,fatigue,"Ragi Porridge, Avilvilayichathu Rice Flakes Mixture, Banana","Onion, Heavy fried foods","Phytoestrogens, Caffeine",AB+: Balance with fermented foods,winter,Hot beverages for warmth
Andhra Pradesh,South,pain,"Finger Millet Idli Ragi, Dark chocolate","Sour foods, Non-veg","Calcium, Zinc",O+: Increase iron intake from leafy greens and lentils,winter,Local affordable greens
Telangana,South,fatigue,"Raw Egg Yolk with Sesame Oil, Ragi roti",Cabbage,"Potassium, Protein, Magnesium",AB+: Balance with fermented foods,winter,Hydration focus
Maharashtra,West,cramps,Raw Banana Soup,"Spicy foods, Pickles","Phytoestrogens, Folate, Vitamin E",B+: Emphasize whole grains and vegetables,winter,Prefer warm sesame seed soups
Gujarat,West,heavy bleeding,"Dark chocolate, Raw Egg Yolk with Sesame Oil, Raw Banana Soup","Cabbage, Red meat","Calcium, Vitamins A C B1, Protein",O+: Increase iron intake from leafy greens and lentils,winter,Urban access to fresh produce
Rajasthan,West,bloating,"Plenty of Water, Ulunthu Kali Urad Dhal Porridge","Heavy fried foods, Sugarcane",Vitamin C,O+: Increase iron intake from leafy greens and lentils,winter,Urban access to fresh produce
Madhya Pradesh,Central,heavy bleeding,Hot Tea,Processed foods,Caffeine,B+: Emphasize whole grains and vegetables,summer,Millet porridge
Uttar Pradesh,North,pain,Millets Bajra Porridge,Potatoes,"Potassium, Caffeine, Vitamins A C B1",B+: Emphasize whole grains and vegetables,summer,Coconut water
Bihar,East,bloating,"Seem Paal Bovine Colostrum, Dal with Greens",Non-veg,Omega-3,O+: Increase iron intake from leafy greens and lentils,winter,Warm dosa variations
West Bengal,East,pain,"Plenty of Water, Ginger tea","Spicy foods, Tamarind","Potassium, Vitamins A C B1",AB+: Balance with fermented foods,summer,Plenty of water
Odisha,East,heavy bleeding,Spinach Methi Greens,Red meat,"Vitamins A C B1, Zinc, Magnesium",A+: Focus on lighter proteins like tofu,summer,Hydration focus
Jharkhand,East,heavy bleeding,"Lentils Dal, Cucumber Coconut Water","Heavy fats, Non-veg","Antioxidants, Vitamins A C B1",A+: Focus on lighter proteins like tofu,summer,Warm tapioca dishes
Assam,Northeast,heavy bleeding,Arissi Puttu Rice Flour Coconut,"Potatoes, Pickles","Potassium, Magnesium",A+: Focus on lighter proteins like tofu,summer,Cucumber for hydration
Delhi,North,cramps,"Sarkkarachoru, Black Sesame with Cane Sugar, Karupettikurukku Black Sesame Preparation","Curd, Red meat","Protein, Vitamin C",O+: Increase iron intake from leafy greens and lentils,winter,Seasonal fruits for vitamin C
Haryana,North,cramps,"Finger Millet Idli Ragi, Ragi Porridge","Sour foods, Spicy foods","Omega-3, Vitamin E, Fiber",O+: Increase iron intake from leafy greens and lentils,winter,Warm spices for digestion
Punjab,North,pain,"Ulunthu Kali Urad Dhal Porridge, Raw Banana Soup","Processed foods, Cold foods",Omega-3,B+: Emphasize whole grains and vegetables,summer,Avoid tamarind-based curries
Himachal Pradesh,North,cramps,"Black Sesame with Cane Sugar, Plenty of Water, Seem Paal Bovine Colostrum",Heavy fried foods,"Potassium, Antioxidants",B+: Emphasize whole grains and vegetables,winter,Hydration focus
Jammu & Kashmir,North,fatigue,Uluva Verakiyath Fenugreek Porridge,"Milk, Rice","Caffeine, Folate, Potassium",O+: Increase iron intake from leafy greens and lentils,summer,Warm soups
Kerala,South,bloating,"Uluva Verakiyath Fenugreek Porridge, Peppermint water","Sugarcane, Cold foods",Caffeine,A+: Focus on lighter proteins like tofu,summer,Hydration focus
Tamil Nadu,South,fatigue,"Plenty of Water, Hot Tea",Potatoes,"Fiber, Calcium, Omega-3",O+: Increase iron intake from leafy greens and lentils,winter,Warm spices for digestion
Karnataka,South,fatigue,"Light Fish Curry, Raw Banana Soup, Leafy Greens",Heavy fried foods,"Vitamin C, Omega-3",O+: Increase iron intake from leafy greens and lentils,summer,Avoid tamarind-based curries
Andhra Pradesh,South,fatigue,Palm Jaggery Porridge,"Lassi, Cold foods","Protein, Zinc",B+: Emphasize whole grains and vegetables,summer,Warm soups
Telangana,South,pain,Vegetable Rice,"Processed foods, High salt","Antioxidants, Phytoestrogens",A+: Focus on lighter proteins like tofu,summer,Warm spices for digestion
Maharashtra,West,fatigue,"Palm Jaggery Porridge, Hot Tea, Tea with Ghee","Cabbage, Onion",Zinc,O+: Increase iron intake from leafy greens and lentils,summer,Soups with spices
Gujarat,West,bloating,"Raw Egg Yolk with Sesame Oil, Avilvilayichathu Rice Flakes Mixture, Peppermint water","Onion, Rice","Vitamin C, Zinc",AB+: Balance with fermented foods,summer,Pair with vitamin C fruits
Rajasthan,West,fatigue,Peppermint water,Tamarind,Caffeine,A+: Focus on lighter proteins like tofu,winter,Hydration focus
Madhya Pradesh,Central,pain,"Palm Jaggery Porridge, Ginger tea, Karupettikurukku Black Sesame Preparation","Carbonated drinks, Onion","Potassium, Iron",AB+: Balance with fermented foods,winter,Seed mixes
Uttar Pradesh,North,bloating,"Hot Tea, Peppermint water",Pickles,Omega-3,O+: Increase iron intake from leafy greens and lentils,summer,Include vallarai leaves for energy
Bihar,East,cramps,"Dark chocolate, Sarkkarachoru, Ginger tea",Cold foods,"Vitamin C, Antioxidants, Zinc",B+: Emphasize whole grains and vegetables,summer,Add coconut water for hydration
